Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
61,S Kaul,Sunrisers Hyderabad,-5,-0.018000000000000002,0.013999999999999999,"$593,750","$559,413"
62,RG Sharma,Mumbai Indians,-8,-0.028999999999999998,0.063,"$2,343,750","$543,415"
63,BA Stokes,Rajasthan Royals,-9,-0.03,0.1,"$1,953,130","$541,960"
64,Mohammad Nabi,Sunrisers Hyderabad,-9,-0.03,0.005,"$156,250","$541,960"
65,KK Ahmed,Sunrisers Hyderabad,-11,-0.037000000000000005,0.051,"$468,750","$531,779"
66,JL Pattinson,Mumbai Indians,-12,-0.042,0.066,"$100,000","$524,508"
67,J Yadav,Mumbai Indians,-15,-0.049,0.011000000000000001,"$78,130","$514,327"
68,MM Sharma,Delhi Capitals,-16,-0.053,0.006999999999999999,"$71,400","$508,509"
69,Monu Kumar,Chennai Super Kings,-16,-0.054000000000000006,0.001,"$31,250","$507,055"
70,Sandeep Sharma,Sunrisers Hyderabad,-17,-0.055999999999999994,0.107,"$468,750","$504,146"
71,DS Kulkarni,Mumbai Indians,-17,-0.057,0.004,"$110,000","$502,692"
72,RK Singh,Kolkata Knight Riders,-17,-0.059000000000000004,0.002,"$125,000","$499,783"
73,Basil Thampi,Sunrisers Hyderabad,-18,-0.06,0.005,"$148,440","$498,329"
74,PP Chawla,Chennai Super Kings,-19,-0.063,0.038,"$964,300","$493,966"
75,KV Sharma,Chennai Super Kings,-19,-0.065,0.025,"$478,000","$491,057"
76,SS Cottrell,Kings XI Punjab,-19,-0.065,0.051,"$1,214,300","$491,057"
77,KM Jadhav,Chennai Super Kings,-23,-0.078,0.013999999999999999,"$1,218,750","$472,150"
78,SN Khan,Kings XI Punjab,-24,-0.08,0.009000000000000001,"$35,700","$469,241"
79,CJ Green,Kolkata Knight Riders,-24,-0.081,0.001,"$28,600","$467,787"
80,I Sharma,Delhi Capitals,-24,-0.081,0.001,"$157,100","$467,787"
81,AT Carey,Delhi Capitals,-25,-0.084,0.009000000000000001,"$342,900","$463,424"
82,MK Lomror,Rajasthan Royals,-26,-0.08800000000000001,0.011000000000000001,"$31,250","$457,606"
83,NS Naik,Kolkata Knight Riders,-27,-0.092,0.0,"$28,600","$451,788"
84,S Sandeep Warrier,Kolkata Knight Riders,-31,-0.105,0.002,"$16,000","$432,882"
85,A Zampa,Royal Challengers Bangalore,-34,-0.11599999999999999,0.015,"$45,000","$416,883"
86,MR Marsh,Sunrisers Hyderabad,-34,-0.11599999999999999,0.0,"$285,700","$416,883"
87,Imran Tahir,Chennai Super Kings,-35,-0.11699999999999999,0.015,"$156,250","$415,429"
88,JR Hazlewood,Chennai Super Kings,-35,-0.11699999999999999,0.011000000000000001,"$285,700","$415,429"
89,T Natarajan,Sunrisers Hyderabad,-35,-0.11900000000000001,0.121,"$62,500","$412,520"
90,JR Philippe,Royal Challengers Bangalore,-35,-0.12,0.021,"$28,600","$411,066"
91,N Rana,Kolkata Knight Riders,-39,-0.131,0.076,"$531,250","$395,068"
92,SS Tiwary,Mumbai Indians,-39,-0.131,0.021,"$71,400","$395,068"
93,T Banton,Kolkata Knight Riders,-39,-0.131,0.001,"$142,900","$395,068"
94,B Kumar,Sunrisers Hyderabad,-39,-0.133,0.021,"$1,328,130","$392,159"
95,Harpreet Brar,Kings XI Punjab,-40,-0.135,0.002,"$28,600","$389,250"
96,Mandeep Singh,Kings XI Punjab,-40,-0.136,0.027999999999999997,"$218,750","$387,796"
97,KK Nair,Kings XI Punjab,-41,-0.138,0.002,"$875,000","$384,887"
98,AJ Tye,Rajasthan Royals,-41,-0.139,0.006,"$142,900","$383,433"
99,Avesh Khan,Delhi Capitals,-41,-0.139,0.001,"$109,380","$383,433"
100,Prabhsimran Singh,Kings XI Punjab,-42,-0.141,0.002,"$78,600","$380,524"
101,K Gowtham,Kings XI Punjab,-42,-0.142,0.021,"$900,000","$379,069"
102,SO Hetmyer,Delhi Capitals,-42,-0.142,0.038,"$1,107,100","$379,069"
103,Ravi Bishnoi,Kings XI Punjab,-43,-0.145,0.08900000000000001,"$285,700","$374,706"
104,M Prasidh Krishna,Kolkata Knight Riders,-45,-0.15,0.021,"$15,620","$367,434"
105,YBK Jaiswal,Rajasthan Royals,-45,-0.152,0.008,"$342,900","$364,526"
106,Kuldeep Yadav,Kolkata Knight Riders,-48,-0.161,0.012,"$906,250","$351,436"
107,DJ Bravo,Chennai Super Kings,-51,-0.171,0.037000000000000005,"$1,000,000","$336,892"
108,S Nadeem,Sunrisers Hyderabad,-53,-0.177,0.028999999999999998,"$500,000","$328,166"
109,M Vijay,Chennai Super Kings,-53,-0.179,0.006,"$312,500","$325,257"
110,RA Tripathi,Kolkata Knight Riders,-54,-0.18100000000000002,0.05,"$85,700","$322,348"
111,RA Jadeja,Chennai Super Kings,-55,-0.185,0.08900000000000001,"$1,093,750","$316,531"
112,MM Ali,Royal Challengers Bangalore,-56,-0.19,0.01,"$265,630","$309,259"
113,NM Coulter-Nile,Mumbai Indians,-57,-0.191,0.045,"$1,142,900","$307,805"
114,SP Goswami,Sunrisers Hyderabad,-57,-0.192,0.0,"$156,250","$306,350"
115,TK Curran,Rajasthan Royals,-61,-0.207,0.037000000000000005,"$142,900","$284,535"
116,DL Chahar,Chennai Super Kings,-63,-0.213,0.08900000000000001,"$125,000","$275,808"
117,CJ Jordan,Kings XI Punjab,-63,-0.214,0.07200000000000001,"$428,600","$274,354"
118,R Ashwin,Delhi Capitals,-64,-0.217,0.08800000000000001,"$1,100,000","$269,991"
119,P Dubey,Delhi Capitals,-65,-0.22,0.006,"$15,000","$265,628"
120,AJ Finch,Royal Challengers Bangalore,-72,-0.245,0.07,"$628,600","$229,268"
121,Abhishek Sharma,Sunrisers Hyderabad,-75,-0.253,0.03,"$85,940","$217,633"
122,HV Patel,Delhi Capitals,-76,-0.256,0.019,"$31,250","$213,270"
123,Abdul Samad,Sunrisers Hyderabad,-93,-0.316,0.027999999999999997,"$28,600","$126,007"
124,PK Garg,Sunrisers Hyderabad,-94,-0.317,0.022000000000000002,"$271,400","$124,553"
125,DW Steyn,Royal Challengers Bangalore,-103,-0.34700000000000003,0.011000000000000001,"$285,700","$80,921"
126,PJ Cummins,Kolkata Knight Riders,-105,-0.355,0.13699999999999998,"$2,214,300","$69,286"
127,TU Deshpande,Delhi Capitals,-106,-0.359,0.024,"$28,600","$63,469"
128,Mujeeb Ur Rahman,Kings XI Punjab,-107,-0.363,0.003,"$625,000","$57,651"
129,UT Yadav,Royal Challengers Bangalore,-107,-0.363,0.003,"$656,250","$57,651"
130,R Parag,Rajasthan Royals,-109,-0.369,0.019,"$28,600","$48,925"
131,AM Rahane,Delhi Capitals,-114,-0.385,0.026000000000000002,"$760,000","$25,655"
132,VR Aaron,Rajasthan Royals,-114,-0.386,0.006,"$342,900","$24,200"
133,RV Uthappa,Rajasthan Royals,-116,-0.392,0.038,"$428,600","$15,474"
134,I Udana,Royal Challengers Bangalore,-123,-0.41600000000000004,0.052000000000000005,"$71,400","$-19,431"
135,Kartik Tyagi,Rajasthan Royals,-124,-0.419,0.062,"$185,700","$-23,794"
136,JD Unadkat,Rajasthan Royals,-126,-0.425,0.025,"$428,600","$-32,521"
137,JDS Neesham,Kings XI Punjab,-126,-0.426,0.015,"$71,400","$-33,975"
138,Washington Sundar,Royal Challengers Bangalore,-128,-0.433,0.092,"$500,000","$-44,156"
139,AD Russell,Kolkata Knight Riders,-136,-0.46,0.063,"$1,328,130","$-83,424"
140,DR Sams,Delhi Capitals,-137,-0.46399999999999997,0.006,NA,"$-89,242"
141,PP Shaw,Delhi Capitals,-141,-0.47600000000000003,0.038,"$187,500","$-106,694"
142,KD Karthik,Kolkata Knight Riders,-143,-0.483,0.033,"$1,156,250","$-116,875"
143,GJ Maxwell,Kings XI Punjab,-146,-0.494,0.040999999999999995,"$1,535,700","$-132,873"
144,KL Nagarkoti,Kolkata Knight Riders,-148,-0.501,0.033,"$500,000","$-143,054"
145,AS Rajpoot,Rajasthan Royals,-149,-0.502,0.019,"$430,000","$-144,508"
146,AR Patel,Delhi Capitals,-180,-0.607,0.081,"$714,300","$-297,218"
147,NA Saini,Royal Challengers Bangalore,-191,-0.6459999999999999,0.061,"$468,750","$-353,939"
148,S Gopal,Rajasthan Royals,-215,-0.726,0.067,"$31,250","$-470,290"
149,KH Pandya,Mumbai Indians,-251,-0.848,0.066,"$1,375,000","$-647,724"
150,SP Narine,Kolkata Knight Riders,-292,-0.988,0.051,"$1,953,130","$-851,338"
