Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
73,PP Ojha,Mumbai Indians,4,0.015,0.065,NA,"$646,530"
74,JD Ryder,Pune Warriors,3,0.012,0.069,"$150,000","$644,174"
75,VY Mahesh,Chennai Super Kings,3,0.012,0.019,NA,"$644,174"
76,AJ Finch,Delhi Daredevils,2,0.008,0.013000000000000001,"$300,000","$641,033"
77,BB Samantray,Deccan Chargers,2,0.006999999999999999,0.001,NA,"$640,248"
78,R Vinay Kumar,Royal Challengers Bangalore,0,0.0,0.126,"$1,000,000","$634,752"
79,DT Christian,Deccan Chargers,-1,-0.003,0.091,"$900,000","$632,396"
80,V Kohli,Royal Challengers Bangalore,-1,-0.003,0.084,NA,"$632,396"
81,BB McCullum,Kolkata Knight Riders,-1,-0.005,0.068,"$900,000","$630,826"
82,DH Yagnik,Rajasthan Royals,-1,-0.005,0.006999999999999999,NA,"$630,826"
83,J Theron,Deccan Chargers,-3,-0.012,0.018000000000000002,NA,"$625,329"
84,JP Faulkner,Kings XI Punjab,-4,-0.015,0.022000000000000002,"$190,000","$622,974"
85,PA Reddy,Deccan Chargers,-6,-0.022000000000000002,0.017,NA,"$617,477"
86,RE van der Merwe,Delhi Daredevils,-6,-0.023,0.015,"$50,000","$616,692"
87,SK Trivedi,Rajasthan Royals,-7,-0.025,0.085,NA,"$615,122"
88,SK Raina,Chennai Super Kings,-7,-0.026000000000000002,0.11599999999999999,"$650,000","$614,336"
89,AG Murtaza,Pune Warriors,-8,-0.028999999999999998,0.003,NA,"$611,981"
90,NV Ojha,Delhi Daredevils,-8,-0.028999999999999998,0.057999999999999996,"$270,000","$611,981"
91,A Ashish Reddy,Deccan Chargers,-9,-0.033,0.069,NA,"$608,840"
92,MK Tiwary,Kolkata Knight Riders,-9,-0.033,0.057,"$475,000","$608,840"
93,JH Kallis,Kolkata Knight Riders,-9,-0.034,0.179,"$1,100,000","$608,055"
94,Harmeet Singh,Kings XI Punjab,-11,-0.038,0.042,NA,"$604,914"
95,PJ Sangwan,Kolkata Knight Riders,-11,-0.038,0.004,NA,"$604,914"
96,M Kaif,Royal Challengers Bangalore,-12,-0.045,0.002,"$130,000","$599,418"
97,SD Chitnis,Kings XI Punjab,-13,-0.048,0.015,NA,"$597,062"
98,AA Jhunjhunwala,Deccan Chargers,-14,-0.051,0.013000000000000001,NA,"$594,707"
99,GJ Maxwell,Delhi Daredevils,-15,-0.054000000000000006,0.006999999999999999,NA,"$592,351"
100,AN Ahmed,Mumbai Indians,-16,-0.057999999999999996,0.001,NA,"$589,210"
101,U Chand,None,-17,-0.061,0.009000000000000001,NA,"$586,855"
102,AP Majumdar,Pune Warriors,-19,-0.067,0.019,NA,"$582,143"
103,GB Hogg,Rajasthan Royals,-19,-0.068,0.066,"$180,000","$581,358"
104,SS Tiwary,Royal Challengers Bangalore,-19,-0.07,0.040999999999999995,"$1,600,000","$579,788"
105,CA Lynn,Deccan Chargers,-20,-0.07400000000000001,0.002,NA,"$576,647"
106,Harpreet Singh,Pune Warriors,-20,-0.07400000000000001,0.001,NA,"$576,647"
107,WP Saha,Chennai Super Kings,-20,-0.07400000000000001,0.002,"$100,000","$576,647"
108,K Upadhyay,Pune Warriors,-22,-0.08,0.005,NA,"$571,936"
109,MD Mishra,Pune Warriors,-22,-0.081,0.0,NA,"$571,151"
110,NLTC Perera,Mumbai Indians,-23,-0.083,0.003,"$650,000","$569,580"
111,AM Nayar,Kings XI Punjab,-24,-0.086,0.01,"$800,000","$567,225"
112,LJ Wright,Pune Warriors,-24,-0.087,0.001,NA,"$566,439"
113,AB Agarkar,Delhi Daredevils,-24,-0.08900000000000001,0.02,"$210,000","$564,869"
114,M de Lange,Kolkata Knight Riders,-25,-0.09,0.017,NA,"$564,084"
115,Anand Rajan,Deccan Chargers,-26,-0.094,0.022000000000000002,NA,"$560,943"
116,Y Venugopal Rao,Delhi Daredevils,-26,-0.094,0.031,"$700,000","$560,943"
117,AC Blizzard,Mumbai Indians,-26,-0.096,0.0,"$20,000","$559,373"
118,DJ Jacobs,Mumbai Indians,-26,-0.096,0.0,"$190,000","$559,373"
119,SA Yadav,Mumbai Indians,-26,-0.096,0.0,NA,"$559,373"
120,CJ Ferguson,Pune Warriors,-29,-0.106,0.015,"$300,000","$551,521"
121,R Shukla,Mumbai Indians,-30,-0.109,0.001,NA,"$549,165"
122,RN ten Doeschate,Kolkata Knight Riders,-31,-0.114,0.006999999999999999,"$150,000","$545,239"
123,A Mithun,Royal Challengers Bangalore,-32,-0.11599999999999999,0.001,"$260,000","$543,669"
124,JD Unadkat,Kolkata Knight Riders,-32,-0.11599999999999999,0.0,NA,"$543,669"
125,RR Powar,Kings XI Punjab,-32,-0.11599999999999999,0.001,"$180,000","$543,669"
126,Iqbal Abdulla,Kolkata Knight Riders,-32,-0.11800000000000001,0.028999999999999998,NA,"$542,098"
127,MN Samuels,Pune Warriors,-33,-0.121,0.07,NA,"$539,743"
128,S Aravind,Royal Challengers Bangalore,-34,-0.12300000000000001,0.003,NA,"$538,172"
129,Z Khan,Royal Challengers Bangalore,-34,-0.12300000000000001,0.109,"$900,000","$538,172"
130,AUK Pathan,Royal Challengers Bangalore,-34,-0.125,0.001,NA,"$536,602"
131,AC Thomas,Pune Warriors,-35,-0.128,0.024,"$100,000","$534,246"
132,AD Mathews,Pune Warriors,-36,-0.129,0.071,NA,"$533,461"
133,IR Jaggi,Deccan Chargers,-38,-0.13699999999999998,0.003,NA,"$527,180"
134,P Dogra,Kings XI Punjab,-38,-0.13699999999999998,0.001,NA,"$527,180"
135,TL Suman,Mumbai Indians,-38,-0.13699999999999998,0.002,NA,"$527,180"
136,AL Menaria,Rajasthan Royals,-40,-0.14400000000000002,0.059000000000000004,NA,"$521,683"
137,B Chipli,Deccan Chargers,-42,-0.153,0.006,NA,"$514,616"
138,LRPL Taylor,Delhi Daredevils,-46,-0.165,0.044000000000000004,"$1,000,000","$505,194"
139,MK Pandey,Pune Warriors,-47,-0.17,0.03,NA,"$501,268"
140,VR Aaron,Delhi Daredevils,-47,-0.17,0.057999999999999996,NA,"$501,268"
141,DB Ravi Teja,Deccan Chargers,-49,-0.177,0.0,NA,"$495,772"
142,V Pratap Singh,Deccan Chargers,-51,-0.187,0.06,NA,"$487,920"
143,CJ McKay,Mumbai Indians,-52,-0.18899999999999997,0.006,NA,"$486,349"
144,MJ Clarke,Pune Warriors,-52,-0.18899999999999997,0.037000000000000005,NA,"$486,349"
145,Bipul Sharma,Kings XI Punjab,-54,-0.195,0.016,NA,"$481,638"
146,WD Parnell,Pune Warriors,-54,-0.19699999999999998,0.037000000000000005,"$160,000","$480,068"
147,AA Chavan,Rajasthan Royals,-55,-0.198,0.042,NA,"$479,282"
148,R Ashwin,Chennai Super Kings,-60,-0.217,0.095,"$850,000","$464,364"
149,J Syed Mohammad,Royal Challengers Bangalore,-60,-0.218,0.003,NA,"$463,579"
150,A Singh,Rajasthan Royals,-60,-0.21899999999999997,0.055999999999999994,NA,"$462,793"
151,RR Bhatkal,Royal Challengers Bangalore,-61,-0.223,0.0,NA,"$459,653"
152,CA Pujara,Royal Challengers Bangalore,-62,-0.226,0.003,"$700,000","$457,297"
153,A Mishra,Deccan Chargers,-63,-0.22699999999999998,0.08199999999999999,"$300,000","$456,512"
154,SP Goswami,Rajasthan Royals,-63,-0.22899999999999998,0.011000000000000001,NA,"$454,941"
155,MA Agarwal,Royal Challengers Bangalore,-64,-0.23399999999999999,0.05,NA,"$451,015"
156,LR Shukla,Kolkata Knight Riders,-69,-0.25,0.021,NA,"$438,452"
157,RA Jadeja,Chennai Super Kings,-69,-0.25,0.1,"$2,000,000","$438,452"
158,Sunny Gupta,Delhi Daredevils,-71,-0.259,0.0,NA,"$431,385"
159,PA Patel,Deccan Chargers,-74,-0.26899999999999996,0.037000000000000005,"$650,000","$423,533"
160,RE Levi,Mumbai Indians,-75,-0.27399999999999997,0.017,NA,"$419,607"
161,BA Bhatt,Kings XI Punjab,-76,-0.27699999999999997,0.013000000000000001,NA,"$417,252"
162,KD Karthik,Mumbai Indians,-79,-0.28600000000000003,0.047,"$900,000","$410,185"
163,SB Jakati,Chennai Super Kings,-85,-0.31,0.051,NA,"$391,340"
164,RP Singh,Mumbai Indians,-86,-0.311,0.064,"$600,000","$390,555"
165,R Bhatia,Kolkata Knight Riders,-86,-0.312,0.07,NA,"$389,770"
166,KC Sangakkara,Deccan Chargers,-90,-0.32799999999999996,0.040999999999999995,"$700,000","$377,207"
167,B Lee,Kolkata Knight Riders,-94,-0.34,0.064,"$400,000","$367,784"
168,PP Chawla,Kings XI Punjab,-96,-0.348,0.113,"$900,000","$361,503"
169,A Nehra,Pune Warriors,-98,-0.354,0.068,NA,"$356,792"
170,B Kumar,Pune Warriors,-98,-0.35600000000000004,0.066,NA,"$355,221"
171,S Nadeem,Delhi Daredevils,-102,-0.369,0.049,NA,"$345,014"
172,J Botha,Rajasthan Royals,-102,-0.37,0.061,"$950,000","$344,229"
173,JA Morkel,Chennai Super Kings,-103,-0.37200000000000005,0.11,"$675,000","$342,658"
174,TP Sudhindra,Deccan Chargers,-106,-0.38299999999999995,0.008,NA,"$334,021"
175,PC Valthaty,Kings XI Punjab,-118,-0.428,0.005,NA,"$298,687"
176,Ankit Sharma,Deccan Chargers,-119,-0.43,0.028999999999999998,NA,"$297,117"
177,M Kartik,Pune Warriors,-120,-0.43700000000000006,0.036000000000000004,"$400,000","$291,620"
178,N Saini,Kings XI Punjab,-123,-0.446,0.027000000000000003,NA,"$284,554"
179,DL Vettori,Royal Challengers Bangalore,-124,-0.449,0.036000000000000004,"$550,000","$282,198"
180,HV Patel,Royal Challengers Bangalore,-137,-0.498,0.052000000000000005,NA,"$243,723"
181,R Sharma,Pune Warriors,-138,-0.499,0.046,NA,"$242,938"
182,AD Russell,Delhi Daredevils,-138,-0.502,0.017,"$450,000","$240,582"
183,SC Ganguly,Pune Warriors,-143,-0.518,0.079,"$400,000","$228,019"
184,MS Gony,Deccan Chargers,-144,-0.523,0.023,"$290,000","$224,093"
185,P Kumar,Kings XI Punjab,-160,-0.58,0.087,"$800,000","$179,337"
186,YK Pathan,Kolkata Knight Riders,-165,-0.598,0.065,"$2,100,000","$165,204"
187,IK Pathan,Delhi Daredevils,-231,-0.8390000000000001,0.091,"$1,900,000","$-24,029"
188,Harbhajan Singh,Mumbai Indians,-339,-1.2309999999999999,0.061,"$850,000","$-331,826"
