Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
93,A Mukund,Chennai Super Kings,-27,-0.096,0.0,NA,"$431,603"
94,MA Khote,Mumbai Indians,-27,-0.09699999999999999,0.02,NA,"$431,025"
95,SS Tiwary,Mumbai Indians,-27,-0.098,0.004,NA,"$430,447"
96,J Arunkumar,Royal Challengers Bangalore,-30,-0.109,0.008,NA,"$424,089"
97,LPC Silva,Deccan Chargers,-34,-0.12300000000000001,0.01,"$100,000","$415,996"
98,AB Agarkar,Kolkata Knight Riders,-35,-0.124,0.064,"$350,000","$415,418"
99,DS Lehmann,Rajasthan Royals,-35,-0.127,0.003,NA,"$413,684"
100,MM Patel,Rajasthan Royals,-37,-0.132,0.10300000000000001,"$275,000","$410,794"
101,D Salunkhe,Rajasthan Royals,-37,-0.133,0.016,NA,"$410,216"
102,A Chopra,Kolkata Knight Riders,-38,-0.136,0.01,NA,"$408,481"
103,R Bhatia,Delhi Daredevils,-40,-0.142,0.048,NA,"$405,013"
104,RT Ponting,Kolkata Knight Riders,-41,-0.147,0.012,"$400,000","$402,123"
105,BJ Hodge,Kolkata Knight Riders,-41,-0.14800000000000002,0.002,NA,"$401,545"
106,CL White,Royal Challengers Bangalore,-41,-0.14800000000000002,0.03,"$500,000","$401,545"
107,Z Khan,Royal Challengers Bangalore,-42,-0.151,0.107,"$450,000","$399,811"
108,DB Ravi Teja,Deccan Chargers,-43,-0.155,0.03,NA,"$397,498"
109,WPUJC Vaas,Deccan Chargers,-43,-0.155,0.039,"$200,000","$397,498"
110,P Amarnath,Chennai Super Kings,-45,-0.161,0.036000000000000004,NA,"$394,030"
111,AM Rahane,Mumbai Indians,-49,-0.177,0.001,NA,"$384,781"
112,GD McGrath,Delhi Daredevils,-50,-0.18100000000000002,0.09,"$350,000","$382,469"
113,MK Pandey,Mumbai Indians,-50,-0.18100000000000002,0.001,NA,"$382,469"
114,AB Dinda,Kolkata Knight Riders,-51,-0.183,0.067,NA,"$381,313"
115,VS Yeligati,Mumbai Indians,-51,-0.183,0.005,NA,"$381,313"
116,AM Nayar,Mumbai Indians,-52,-0.188,0.049,NA,"$378,423"
117,RP Singh,Deccan Chargers,-52,-0.188,0.107,"$875,000","$378,423"
118,Joginder Sharma,Chennai Super Kings,-53,-0.192,0.054000000000000006,"$225,000","$376,111"
119,S Chanderpaul,Royal Challengers Bangalore,-55,-0.19699999999999998,0.004,"$200,000","$373,220"
120,D Kalyankrishna,Deccan Chargers,-55,-0.19899999999999998,0.015,NA,"$372,064"
121,K Goel,Kings XI Punjab,-55,-0.19899999999999998,0.018000000000000002,NA,"$372,064"
122,DB Das,Kolkata Knight Riders,-57,-0.204,0.032,NA,"$369,174"
123,DNT Zoysa,Deccan Chargers,-58,-0.21,0.018000000000000002,"$110,000","$365,706"
124,B Chipli,Royal Challengers Bangalore,-60,-0.215,0.002,NA,"$362,815"
125,Gagandeep Singh,Kings XI Punjab,-61,-0.22,0.013999999999999999,NA,"$359,925"
126,S Vidyut,Chennai Super Kings,-62,-0.22399999999999998,0.037000000000000005,NA,"$357,613"
127,M Kaif,Rajasthan Royals,-62,-0.225,0.049,"$675,000","$357,035"
128,SK Trivedi,Rajasthan Royals,-63,-0.226,0.09300000000000001,NA,"$356,457"
129,M Ntini,Chennai Super Kings,-68,-0.24600000000000002,0.065,"$200,000","$344,896"
130,Misbah-ul-Haq,Royal Challengers Bangalore,-69,-0.249,0.023,NA,"$343,162"
131,SM Pollock,Mumbai Indians,-69,-0.249,0.126,"$550,000","$343,162"
132,RA Jadeja,Rajasthan Royals,-70,-0.253,0.038,NA,"$340,849"
133,B Geeves,Delhi Daredevils,-71,-0.257,0.006,NA,"$338,537"
134,M Rawat,Rajasthan Royals,-72,-0.26,0.008,NA,"$336,803"
135,PR Shah,Mumbai Indians,-72,-0.26,0.005,NA,"$336,803"
136,HH Gibbs,Deccan Chargers,-72,-0.261,0.038,"$575,000","$336,225"
137,JDP Oram,Chennai Super Kings,-74,-0.265,0.025,"$675,000","$333,913"
138,SB Joshi,Royal Challengers Bangalore,-76,-0.273,0.012,NA,"$329,288"
139,Shoaib Malik,Delhi Daredevils,-78,-0.281,0.028999999999999998,"$500,000","$324,664"
140,AS Yadav,Deccan Chargers,-84,-0.302,0.006999999999999999,NA,"$312,525"
141,DP Vijaykumar,Deccan Chargers,-85,-0.304,0.031,NA,"$311,369"
142,B Akhil,Royal Challengers Bangalore,-85,-0.306,0.026000000000000002,NA,"$310,213"
143,M Kartik,Kolkata Knight Riders,-96,-0.345,0.03,"$425,000","$287,669"
144,Mohammad Asif,Delhi Daredevils,-100,-0.359,0.049,"$650,000","$279,576"
145,R Vinay Kumar,Royal Challengers Bangalore,-102,-0.366,0.049,NA,"$275,530"
146,P Kumar,Royal Challengers Bangalore,-109,-0.392,0.113,NA,"$260,500"
147,CK Kapugedera,Chennai Super Kings,-112,-0.402,0.004,NA,"$254,720"
148,M Muralitharan,Chennai Super Kings,-112,-0.40299999999999997,0.08900000000000001,"$600,000","$254,142"
149,I Sharma,Kolkata Knight Riders,-114,-0.409,0.064,"$950,000","$250,674"
150,PJ Sangwan,Delhi Daredevils,-118,-0.425,0.035,NA,"$241,425"
151,Shahid Afridi,Deccan Chargers,-118,-0.426,0.077,"$675,000","$240,847"
152,Pankaj Singh,Rajasthan Royals,-120,-0.43200000000000005,0.006,NA,"$237,378"
153,A Kumble,Royal Challengers Bangalore,-122,-0.44,0.063,"$500,000","$232,754"
154,Mohammad Hafeez,Kolkata Knight Riders,-131,-0.47100000000000003,0.026000000000000002,NA,"$214,834"
155,V Kohli,Royal Challengers Bangalore,-131,-0.473,0.045,NA,"$213,678"
156,VRV Singh,Kings XI Punjab,-142,-0.511,0.078,NA,"$191,712"
157,JR Hopes,Kings XI Punjab,-158,-0.57,0.096,NA,"$157,607"
158,SB Styris,Deccan Chargers,-161,-0.578,0.06,"$175,000","$152,983"
159,SB Bangar,Deccan Chargers,-165,-0.594,0.037000000000000005,NA,"$143,734"
160,JH Kallis,Royal Challengers Bangalore,-236,-0.8490000000000001,0.08,"$900,000","$-3,669"
